;Stock;Description;Model;MSE;RMSE;MAE;MAPE;R²
0;PETR4;Stock Data;model_4;0.0002708981530163097;0.016458983960631036;0.010961695022642846;2.6196785466633408;0.9731549217589857
1;VALE3;Stock Data;model_4;0.07357694204510055;0.2712506996214029;0.2583591970998958;42.14912298943381;-0.9822132471555807
2;BBDC4;Stock Data;model_4;0.00048343441380152536;0.021987142010764505;0.015709906878398898;3.119241647431238;0.9721497469377702
3;ITUB4;Stock Data;model_4;0.0003630730114693838;0.01905447484108087;0.013793962341309285;2.3353886873846395;0.9762370214848154
4;PETR4;Stock Data + Google News;model_4;0.0014145638052179318;0.03761068738029035;0.030834945861920492;6.99998702050326;0.8598215764664292
5;VALE3;Stock Data + Google News;model_4;0.08510263431013855;0.29172355803078115;0.27862183713307864;45.694160420902904;-1.292723296301042
6;BBDC4;Stock Data + Google News;model_4;0.00048456709003326013;0.02201288463680442;0.01574563796120279;3.1224218114656916;0.9720844944054912
7;ITUB4;Stock Data + Google News;model_4;0.006012487915223883;0.07754023417055099;0.06473284690581299;10.760295867386347;0.6064851513637763
8;PETR4;Stock Data + Twitter;model_4;0.0002720706118828411;0.016494563100695973;0.011023765400762968;2.628870322535639;0.973038735104865
9;VALE3;Stock Data + Twitter;model_4;0.07496973490665976;0.2738060169292482;0.26111947639251737;42.66933960052267;-1.0197360414439607
10;BBDC4;Stock Data + Twitter;model_4;0.0020078087438274534;0.04480857890881448;0.03478035374725387;6.822719586196162;0.8843318141618491
11;ITUB4;Stock Data + Twitter;model_4;0.0005842425303938515;0.024171109415867767;0.018562588574090964;3.1122998922736533;0.9617615678972687
12;PETR4;Stock Data + IT (IFR + MMS + MME);model_4;0.006081075908192944;0.07798125356900172;0.07315474455251701;16.564085148685066;0.39738622531266055
13;VALE3;Stock Data + IT (IFR + MMS + MME);model_4;0.04473631993840651;0.2115096213849538;0.19383180280209303;30.397597814864724;-0.2052271206996248
14;BBDC4;Stock Data + IT (IFR + MMS + MME);model_4;0.02565526671347676;0.16017261536691207;0.14956744354250917;28.184298209260277;-0.477978501221616
15;ITUB4;Stock Data + IT (IFR + MMS + MME);model_4;0.007971337633395002;0.08928234782640408;0.08271934596120219;13.767707217608269;0.47827924704995217
16;PETR4;Google News + Twitter + IFR + MMS;model_4;0.005510559856701692;0.07423314527016683;0.06553519699132154;14.80187239152791;0.45392241010944323
17;VALE3;Google News + Twitter + IFR + MMS;model_4;0.05806056587831899;0.24095760182720732;0.22428874807362995;35.80001454583753;-0.5641914385461588
18;BBDC4;Google News + Twitter + IFR + MMS;model_4;0.03275467274018641;0.18098252053772046;0.17143387368162033;32.444324331794206;-0.8869693566317518
19;ITUB4;Google News + Twitter + IFR + MMS;model_4;0.004111238899788694;0.06411894337704493;0.05202275917118073;8.681749810214946;0.730921113494253
20;PETR4;Google News + Twitter + IFR + MME;model_4;0.003521977192276417;0.05934624834205122;0.05105133771913892;11.546389606107304;0.6509841346757501
21;VALE3;Google News + Twitter + IFR + MME;model_4;0.06490864942432242;0.2547717594717327;0.23933798950836543;38.538148532311524;-0.7486835028425449
22;BBDC4;Google News + Twitter + IFR + MME;model_4;0.05914128273490426;0.24318980804076526;0.2306587885639804;43.55244673430241;-2.407079933842248
23;ITUB4;Google News + Twitter + IFR + MME;model_4;0.010371957070455505;0.10184280568825421;0.08338794442946199;13.82517080503538;0.32115969725159477
24;PETR4;Google News + Twitter + IFR + MME + MMS;model_4;0.0032025161693965817;0.05659077813033305;0.04843979803143479;10.95303652606798;0.6826416268316575
25;VALE3;Google News + Twitter + IFR + MME + MMS;model_4;0.06628652742350603;0.25746170088676495;0.24226495478124024;39.0802452918838;-0.7858044805161184
26;BBDC4;Google News + Twitter + IFR + MME + MMS;model_4;0.031514608795411354;0.17752354434105735;0.1682338656888099;31.886870309345415;-0.8155303078396829
27;ITUB4;Google News + Twitter + IFR + MME + MMS;model_4;0.003393684165828276;0.05825533594296986;0.04711916277730361;7.897899858603319;0.7778847742124176
